predictor,predictor,predictor,predictor,predictor,predictor,predictor,predictor,predictor,predictor
0.1425287356321839,0.13793103448275862,0.07586206896551724,0.09885057471264368,0.07586206896551724,0.10114942528735632,0.059770114942528735,0.029885057471264367,0.1425287356321839,0.135632183908046
0.1504424778761062,0.12168141592920353,0.07743362831858407,0.10619469026548672,0.07743362831858407,0.1084070796460177,0.03982300884955752,0.05088495575221239,0.1504424778761062,0.1172566371681416
0.16143497757847533,0.10538116591928251,0.08744394618834081,0.11883408071748879,0.02466367713004484,0.11434977578475336,0.026905829596412557,0.11434977578475336,0.12780269058295965,0.11883408071748879
0.15565031982942432,0.08315565031982942,0.15778251599147122,0.08315565031982942,0.09594882729211088,0.11940298507462686,0.031982942430703626,0.10021321961620469,0.03837953091684435,0.13432835820895522
0.14516129032258066,0.0625,0.10080645161290322,0.11290322580645161,0.1028225806451613,0.11491935483870967,0.038306451612903226,0.11693548387096774,0.1431451612903226,0.0625
0.136,0.048,0.112,0.11,0.114,0.11,0.054,0.134,0.134,0.048
0.13203463203463203,0.03896103896103896,0.13203463203463203,0.04112554112554113,0.13203463203463203,0.11255411255411256,0.08225108225108226,0.15800865800865802,0.12987012987012986,0.04112554112554113
0.09760589318600368,0.029465930018416207,0.11970534069981584,0.0847145488029466,0.11970534069981584,0.0865561694290976,0.09208103130755065,0.13812154696132597,0.09392265193370165,0.13812154696132597
0.10112359550561797,0.035955056179775284,0.14831460674157304,0.09438202247191012,0.14831460674157304,0.09213483146067415,0.15056179775280898,0.09213483146067415,0.09887640449438202,0.038202247191011236
0.08131868131868132,0.041758241758241756,0.14505494505494507,0.07912087912087912,0.14505494505494507,0.07692307692307693,0.16043956043956045,0.14505494505494507,0.08131868131868132,0.04395604395604396
0.07093821510297482,0.05491990846681922,0.14645308924485126,0.06864988558352403,0.14645308924485126,0.07093821510297482,0.1853546910755149,0.12814645308924486,0.07093821510297482,0.057208237986270026
0.060948081264108354,0.07223476297968397,0.13544018058690746,0.05869074492099323,0.1963882618510158,0.06320541760722348,0.1986455981941309,0.06320541760722348,0.09255079006772009,0.05869074492099323
0.05952380952380952,0.09523809523809523,0.06190476190476191,0.09523809523809523,0.12857142857142856,0.05476190476190476,0.2,0.0761904761904762,0.19285714285714287,0.03571428571428571
0.06852791878172589,0.1218274111675127,0.12436548223350254,0.0583756345177665,0.1218274111675127,0.05583756345177665,0.20304568527918782,0.0532994923857868,0.07106598984771574,0.1218274111675127
0.07948717948717948,0.14102564102564102,0.11025641025641025,0.06153846153846154,0.1076923076923077,0.06153846153846154,0.18461538461538463,0.03076923076923077,0.08205128205128205,0.14102564102564102
0.08878504672897196,0.14018691588785046,0.08878504672897196,0.1425233644859813,0.08878504672897196,0.0630841121495327,0.1425233644859813,0.014018691588785047,0.0911214953271028,0.14018691588785046
0.13256484149855907,0.18155619596541786,0.09798270893371758,0.09221902017291066,0.09798270893371758,0.09510086455331412,0.138328530259366,0.011527377521613832,0.14121037463976946,0.011527377521613832
0.12134831460674157,0.14157303370786517,0.07415730337078652,0.08314606741573034,0.07191011235955057,0.0853932584269663,0.07415730337078652,0.0853932584269663,0.12359550561797752,0.1393258426966292
0.1425287356321839,0.13793103448275862,0.07586206896551724,0.09885057471264368,0.07586206896551724,0.10114942528735632,0.059770114942528735,0.029885057471264367,0.1425287356321839,0.135632183908046
0.1504424778761062,0.12168141592920353,0.07743362831858407,0.10619469026548672,0.07743362831858407,0.1084070796460177,0.03982300884955752,0.05088495575221239,0.1504424778761062,0.1172566371681416
0.16143497757847533,0.10538116591928251,0.08744394618834081,0.11883408071748879,0.02466367713004484,0.11434977578475336,0.026905829596412557,0.11434977578475336,0.12780269058295965,0.11883408071748879
0.15565031982942432,0.08315565031982942,0.15778251599147122,0.08315565031982942,0.09594882729211088,0.11940298507462686,0.031982942430703626,0.10021321961620469,0.03837953091684435,0.13432835820895522
0.14516129032258066,0.0625,0.10080645161290322,0.11290322580645161,0.1028225806451613,0.11491935483870967,0.038306451612903226,0.11693548387096774,0.1431451612903226,0.0625
0.19772727272727272,0.12045454545454545,0.175,0.04090909090909091,0.08409090909090909,0.07045454545454545,0.08181818181818182,0.07045454545454545,0.02727272727272727,0.1318181818181818
0.20319634703196346,0.08904109589041095,0.1552511415525114,0.0228310502283105,0.07990867579908675,0.0821917808219178,0.0776255707762557,0.0821917808219178,0.04794520547945205,0.1598173515981735
0.21641791044776118,0.06467661691542288,0.1417910447761194,0.012437810945273632,0.0845771144278607,0.10199004975124377,0.08706467661691543,0.10199004975124377,0.0845771144278607,0.1044776119402985
0.20618556701030927,0.03608247422680412,0.11597938144329897,0.01288659793814433,0.09278350515463918,0.11855670103092783,0.09020618556701031,0.1211340206185567,0.09020618556701031,0.11597938144329897
0.1801566579634465,0.013054830287206266,0.08616187989556136,0.02349869451697128,0.10182767624020887,0.13054830287206268,0.10182767624020887,0.13315926892950392,0.09921671018276762,0.13054830287206268
0.12844036697247707,0.0,0.05504587155963303,0.03669724770642202,0.09862385321100918,0.12155963302752294,0.09862385321100918,0.12385321100917432,0.16972477064220184,0.16743119266055045
0.11052631578947368,0.0,0.04473684210526316,0.06842105263157895,0.04473684210526316,0.07105263157894737,0.12894736842105264,0.14473684210526316,0.22105263157894736,0.16578947368421051
0.08605341246290801,0.01483679525222552,0.08902077151335312,0.01483679525222552,0.04451038575667656,0.11275964391691394,0.1572700296735905,0.16023738872403562,0.16023738872403562,0.16023738872403562
0.042600896860986545,0.03139013452914798,0.03587443946188341,0.11210762331838565,0.13004484304932734,0.11659192825112108,0.13228699551569506,0.11659192825112108,0.2040358744394619,0.07847533632286996
0.02666666666666667,0.057777777777777775,0.04888888888888889,0.13555555555555557,0.13777777777777778,0.10666666666666667,0.14,0.10666666666666667,0.19333333333333333,0.04666666666666667
0.022123893805309734,0.08849557522123894,0.06858407079646017,0.15265486725663716,0.1415929203539823,0.09513274336283185,0.14380530973451328,0.09513274336283185,0.17256637168141592,0.01991150442477876
0.02459016393442623,0.10860655737704918,0.0860655737704918,0.15163934426229508,0.13114754098360656,0.0778688524590164,0.13319672131147542,0.0778688524590164,0.13319672131147542,0.07581967213114754
0.03792415169660679,0.12974051896207583,0.10778443113772455,0.14770459081836326,0.12574850299401197,0.0658682634730539,0.1277445109780439,0.06387225548902195,0.1277445109780439,0.0658682634730539
0.05917159763313609,0.14595660749506903,0.1301775147928994,0.13806706114398423,0.11834319526627218,0.05719921104536489,0.11834319526627218,0.055226824457593686,0.1203155818540434,0.05719921104536489
0.0947136563876652,0.17400881057268722,0.16519823788546256,0.13876651982378854,0.12334801762114538,0.05726872246696035,0.12334801762114538,0.05506607929515418,0.05506607929515418,0.013215859030837005
0.11176470588235295,0.15490196078431373,0.1607843137254902,0.10196078431372549,0.1607843137254902,0.10392156862745099,0.09803921568627451,0.047058823529411764,0.029411764705882353,0.03137254901960784
0.12477396021699819,0.13381555153707053,0.12658227848101267,0.13381555153707053,0.1518987341772152,0.07414104882459313,0.081374321880651,0.045207956600361664,0.08318264014466546,0.045207956600361664
0.18018018018018017,0.1463963963963964,0.18693693693693694,0.06531531531531531,0.09234234234234234,0.060810810810810814,0.09009009009009009,0.060810810810810814,0.018018018018018018,0.0990990990990991
0.19772727272727272,0.12045454545454545,0.175,0.04090909090909091,0.08409090909090909,0.07045454545454545,0.08181818181818182,0.07045454545454545,0.02727272727272727,0.1318181818181818
0.20319634703196346,0.08904109589041095,0.1552511415525114,0.0228310502283105,0.07990867579908675,0.0821917808219178,0.0776255707762557,0.0821917808219178,0.04794520547945205,0.1598173515981735
0.21641791044776118,0.06467661691542288,0.1417910447761194,0.012437810945273632,0.0845771144278607,0.10199004975124377,0.08706467661691543,0.10199004975124377,0.0845771144278607,0.1044776119402985
0.20618556701030927,0.03608247422680412,0.11597938144329897,0.01288659793814433,0.09278350515463918,0.11855670103092783,0.09020618556701031,0.1211340206185567,0.09020618556701031,0.11597938144329897
0.1801566579634465,0.013054830287206266,0.08616187989556136,0.02349869451697128,0.10182767624020887,0.13054830287206268,0.10182767624020887,0.13315926892950392,0.09921671018276762,0.13054830287206268
0.056179775280898875,0.06741573033707865,0.06741573033707865,0.09438202247191012,0.1662921348314607,0.1101123595505618,0.16404494382022472,0.1101123595505618,0.0696629213483146,0.09438202247191012
0.05066079295154185,0.08590308370044053,0.07048458149779736,0.10572687224669604,0.07048458149779736,0.10792951541850221,0.16740088105726872,0.0881057268722467,0.16519823788546256,0.0881057268722467
0.053811659192825115,0.10762331838565023,0.05605381165919283,0.10762331838565023,0.08071748878923767,0.1210762331838565,0.16591928251121077,0.06950672645739911,0.1681614349775785,0.06950672645739911
0.06170212765957447,0.11914893617021277,0.08936170212765958,0.12340425531914893,0.14893617021276595,0.04893617021276596,0.14680851063829786,0.05106382978723404,0.08936170212765958,0.12127659574468085
0.07692307692307693,0.13247863247863248,0.1047008547008547,0.12606837606837606,0.1346153846153846,0.03632478632478633,0.1346153846153846,0.038461538461538464,0.10256410256410256,0.11324786324786325
0.0944206008583691,0.13948497854077252,0.11802575107296137,0.12446351931330472,0.11802575107296137,0.030042918454935622,0.11802575107296137,0.032188841201716736,0.11158798283261803,0.11373390557939914
