predictor,predictor.1,predictor.2,predictor.3,predictor.4,predictor.5,predictor.6,predictor.7,predictor.8,predictor.9,north,south,outcomes
0.1425287356321839,0.1379310344827586,0.0758620689655172,0.0988505747126436,0.0758620689655172,0.1011494252873563,0.0597701149425287,0.0298850574712643,0.1425287356321839,0.135632183908046,1,0,1
0.1504424778761062,0.1216814159292035,0.077433628318584,0.1061946902654867,0.077433628318584,0.1084070796460177,0.0398230088495575,0.0508849557522123,0.1504424778761062,0.1172566371681416,1,0,1
0.1614349775784753,0.1053811659192825,0.0874439461883408,0.1188340807174887,0.0246636771300448,0.1143497757847533,0.0269058295964125,0.1143497757847533,0.1278026905829596,0.1188340807174887,1,0,1
0.1556503198294243,0.0831556503198294,0.1577825159914712,0.0831556503198294,0.0959488272921108,0.1194029850746268,0.0319829424307036,0.1002132196162046,0.0383795309168443,0.1343283582089552,1,0,1
0.1451612903225806,0.0625,0.1008064516129032,0.1129032258064516,0.1028225806451613,0.1149193548387096,0.0383064516129032,0.1169354838709677,0.1431451612903226,0.0625,1,0,1
0.136,0.048,0.112,0.11,0.114,0.11,0.054,0.134,0.134,0.048,1,0,1
0.132034632034632,0.0389610389610389,0.132034632034632,0.0411255411255411,0.132034632034632,0.1125541125541125,0.0822510822510822,0.158008658008658,0.1298701298701298,0.0411255411255411,1,0,1
0.0976058931860036,0.0294659300184162,0.1197053406998158,0.0847145488029466,0.1197053406998158,0.0865561694290976,0.0920810313075506,0.1381215469613259,0.0939226519337016,0.1381215469613259,1,0,1
0.1011235955056179,0.0359550561797752,0.148314606741573,0.0943820224719101,0.148314606741573,0.0921348314606741,0.1505617977528089,0.0921348314606741,0.098876404494382,0.0382022471910112,1,0,1
0.0813186813186813,0.0417582417582417,0.145054945054945,0.0791208791208791,0.145054945054945,0.0769230769230769,0.1604395604395604,0.145054945054945,0.0813186813186813,0.0439560439560439,1,0,1
0.0709382151029748,0.0549199084668192,0.1464530892448512,0.068649885583524,0.1464530892448512,0.0709382151029748,0.1853546910755149,0.1281464530892448,0.0709382151029748,0.05720823798627,1,0,1
0.0609480812641083,0.0722347629796839,0.1354401805869074,0.0586907449209932,0.1963882618510158,0.0632054176072234,0.1986455981941309,0.0632054176072234,0.09255079006772,0.0586907449209932,1,0,1
0.0595238095238095,0.0952380952380952,0.0619047619047619,0.0952380952380952,0.1285714285714285,0.0547619047619047,0.2,0.0761904761904762,0.1928571428571428,0.0357142857142857,1,0,1
0.0685279187817258,0.1218274111675127,0.1243654822335025,0.0583756345177665,0.1218274111675127,0.0558375634517766,0.2030456852791878,0.0532994923857868,0.0710659898477157,0.1218274111675127,1,0,1
0.0794871794871794,0.141025641025641,0.1102564102564102,0.0615384615384615,0.1076923076923077,0.0615384615384615,0.1846153846153846,0.0307692307692307,0.082051282051282,0.141025641025641,1,0,1
0.0887850467289719,0.1401869158878504,0.0887850467289719,0.1425233644859813,0.0887850467289719,0.0630841121495327,0.1425233644859813,0.014018691588785,0.0911214953271028,0.1401869158878504,1,0,1
0.132564841498559,0.1815561959654178,0.0979827089337175,0.0922190201729106,0.0979827089337175,0.0951008645533141,0.138328530259366,0.0115273775216138,0.1412103746397694,0.0115273775216138,1,0,1
0.1213483146067415,0.1415730337078651,0.0741573033707865,0.0831460674157303,0.0719101123595505,0.0853932584269663,0.0741573033707865,0.0853932584269663,0.1235955056179775,0.1393258426966292,1,0,1
0.1425287356321839,0.1379310344827586,0.0758620689655172,0.0988505747126436,0.0758620689655172,0.1011494252873563,0.0597701149425287,0.0298850574712643,0.1425287356321839,0.135632183908046,1,0,1
0.1504424778761062,0.1216814159292035,0.077433628318584,0.1061946902654867,0.077433628318584,0.1084070796460177,0.0398230088495575,0.0508849557522123,0.1504424778761062,0.1172566371681416,1,0,1
0.1614349775784753,0.1053811659192825,0.0874439461883408,0.1188340807174887,0.0246636771300448,0.1143497757847533,0.0269058295964125,0.1143497757847533,0.1278026905829596,0.1188340807174887,1,0,1
0.1556503198294243,0.0831556503198294,0.1577825159914712,0.0831556503198294,0.0959488272921108,0.1194029850746268,0.0319829424307036,0.1002132196162046,0.0383795309168443,0.1343283582089552,1,0,1
0.1451612903225806,0.0625,0.1008064516129032,0.1129032258064516,0.1028225806451613,0.1149193548387096,0.0383064516129032,0.1169354838709677,0.1431451612903226,0.0625,1,0,1
0.1977272727272727,0.1204545454545454,0.175,0.0409090909090909,0.084090909090909,0.0704545454545454,0.0818181818181818,0.0704545454545454,0.0272727272727272,0.1318181818181818,0,1,2
0.2031963470319634,0.0890410958904109,0.1552511415525114,0.0228310502283105,0.0799086757990867,0.0821917808219178,0.0776255707762557,0.0821917808219178,0.047945205479452,0.1598173515981735,0,1,2
0.2164179104477611,0.0646766169154228,0.1417910447761194,0.0124378109452736,0.0845771144278607,0.1019900497512437,0.0870646766169154,0.1019900497512437,0.0845771144278607,0.1044776119402985,0,1,2
0.2061855670103092,0.0360824742268041,0.1159793814432989,0.0128865979381443,0.0927835051546391,0.1185567010309278,0.0902061855670103,0.1211340206185567,0.0902061855670103,0.1159793814432989,0,1,2
0.1801566579634465,0.0130548302872062,0.0861618798955613,0.0234986945169712,0.1018276762402088,0.1305483028720626,0.1018276762402088,0.1331592689295039,0.0992167101827676,0.1305483028720626,0,1,2
0.128440366972477,0.0,0.055045871559633,0.036697247706422,0.0986238532110091,0.1215596330275229,0.0986238532110091,0.1238532110091743,0.1697247706422018,0.1674311926605504,0,1,2
0.1105263157894736,0.0,0.0447368421052631,0.0684210526315789,0.0447368421052631,0.0710526315789473,0.1289473684210526,0.1447368421052631,0.2210526315789473,0.1657894736842105,0,1,2
0.086053412462908,0.0148367952522255,0.0890207715133531,0.0148367952522255,0.0445103857566765,0.1127596439169139,0.1572700296735905,0.1602373887240356,0.1602373887240356,0.1602373887240356,0,1,2
