,budget,vote_count,vote_average,popularity,runtime,revenue,profitable,Foreign,Action,Western,Adventure,Fantasy,Comedy,Thriller,Horror,Drama,Crime,Family,Science Fiction,Animation,Documentary,History,Mystery,TV Movie,Romance,Music,War
0,8.37474834784257,4.071918810363806,7.2,2.1802336523031522,2.2121876044039577,9.445287331052986,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,8.47712125616731,3.653309012938479,6.9,2.1463842403674365,2.230448921378274,8.982723388120466,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8.389166086137163,3.6500159524718385,6.3,2.034936275532738,2.173186268412274,8.944815475739327,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,8.397940010409215,3.9593753365758433,7.6,2.054279546157764,2.220108088040055,9.035405360971422,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
4,8.414973349641182,3.3273589343863303,6.1,1.6525073712179466,2.123851640967086,8.453531002044171,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,8.411619707646542,3.5535189401489697,5.9,2.0670701638530993,2.146128035678238,8.949815127491206,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8.414973349641182,3.522574632691177,7.4,1.6961987995052676,2.0043213737826426,8.772171245308616,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
7,8.44715803289327,3.8304603500309673,7.3,2.1312311194122775,2.1522883443830563,9.147801091022746,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,8.397940010409215,3.7237839369653294,7.4,1.9995030435803312,2.187520720836463,8.97032790356359,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,8.397940010409215,3.8454081396217936,5.7,2.1953196121113736,2.1818435879447726,8.941143664571806,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8.301029997835453,3.472171146692363,6.1,2.0371427631665933,2.0293837776852097,8.767964850864152,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11,8.301029997835453,3.719911064198339,7.0,2.166866199439035,2.1818435879447726,9.027618588446753,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8.406540182137071,3.3639878297484915,5.9,1.6993776675774594,2.1760912590556813,7.950802390080482,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
